2287,华南农业大学,广东,577,570 ,2131,2774,10
6015,山西财经大学,山西,583,570 ,1690,2774,94
1386,东北林业大学,黑龙江,576,569 ,2227,2869,24
2323,南方医科大学,广东,591,567 ,1223,3063,16
2673,陕西科技大学,陕西,579,566 ,1990,3185,20
1768,合肥工业大学（宣城校区）,安徽,570,565 ,2774,3273,12
1385,东北农业大学,黑龙江,575,563 ,2305,3489,26
6016,山西中医药大学,山西,576,561 ,2227,3707,15
2014,河南大学,河南,578,561 ,2067,3707,20
1206,内蒙古大学,内蒙古,580,559 ,1921,3934,44
2788,宁夏大学,宁夏,574,559 ,2387,3934,4
1387,哈尔滨医科大学,黑龙江,565,557 ,3273,4199,3
6004,太原理工大学,山西,583,556 ,1690,4342,231
6001,山西大学,山西,581,554 ,1841,4603,428
,中北大学,山西,555,551 ,4466,5052,14
1334,延边大学,吉林,579,550 ,1990,5219,25
6005,山西农业大学,山西,552,548 ,4880,5500,7
2805,石河子大学,新疆,555,546 ,4466,5818,20
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
